ccode,stateab,bortotalavg,democracy,cincavg,Sub-Region Code,Dev,Avg Population,AVGGDP,T1MaxHost,maj_pow
2,USA,5,2,0.148667872,21,1,302178917.5,1.40E+13,5,1
20,CAN,1,2,0.01045645,21,1,33151746.93,1.37E+12,5,0
31,BHM,5,99,2.64E-05,29,0,338912.2143,9915773571,0,0
40,CUB,8,0,0.001493258,29,0,11242194.5,55751209721,4,0
41,HAI,5,0,0.000589892,29,0,9574316.429,9755467879,3,0
42,DOM,7,1,0.000864,29,0,9392185.5,43778915658,4,0
51,JAM,7,2,0.000183042,29,0,2775336.786,12211058564,0,0
52,TRI,7,2,0.000511825,29,0,1313614.143,19549599976,1,0
53,BAR,8,2,2.04E-05,29,0,279073.3571,4139107143,0,0
54,DMA,6,99,1.91E-06,29,0,70615.71429,429029105.8,0,0
55,GRN,8,99,2.89E-06,29,0,105629.3571,721769891.5,0,0
56,SLU,8,99,4.68E-06,29,0,168619.2857,1322479286,0,0
57,SVG,9,99,2.92E-06,29,0,108409.6429,615097968.3,0,0
58,AAB,6,99,3.53E-06,29,0,84803.5,1100017196,0,0
60,SKN,7,99,1.54E-06,29,0,47857.92857,673655182.4,0,0
70,MEX,5,2,0.0150854,13,0,110131339.9,9.99E+11,0,0
80,BLZ,4,99,1.95E-05,13,0,303484.5714,1263128571,3,0
90,GUA,6,1,0.000880733,13,0,13600578.14,36001277641,4,0
91,HON,7,0,0.00046135,13,0,7878351.571,13174896151,4,0
92,SAL,4,1,0.000456717,13,0,6116240.143,17136848264,1,0
93,NIC,7,1,0.00037735,13,0,5635145,7921246236,4,0
94,COS,5,2,0.000257758,13,0,4427112.929,30352904719,4,0
95,PAN,3,2,0.000264125,13,0,3488911.643,25883282521,0,0
100,COL,10,1,0.006305775,5,0,43836191.36,2.25E+11,1,0
101,VEN,12,0,0.0047947,5,0,27429403.79,2.54E+11,4,0
110,GUY,8,1,3.89E-05,5,0,749565.5714,2469896488,3,0
115,SUR,3,2,4.54E-05,5,0,514479.4286,3114852503,3,0
130,ECU,2,1,0.001511742,5,0,14421754.5,58518112857,4,0
135,PER,5,2,0.003170758,5,0,28444003.07,1.18E+11,4,0
140,BRA,9,2,0.024909733,5,0,190657584,1.52E+12,0,0
145,BOL,5,1,0.001043525,5,0,9641317.857,16813641134,0,0
150,PAR,3,1,0.000501742,5,0,6029874.857,21073390784,0,0
155,CHL,3,2,0.002952475,5,0,16625281,1.71E+11,1,0
160,ARG,5,2,0.005791308,5,0,39901638.71,3.32E+11,4,0
165,URU,2,2,0.000527267,5,0,3347325.929,31206843870,0,0
200,UKG,7,2,0.018112417,154,1,61659667.79,2.52E+12,5,1
205,IRE,2,2,0.000589333,154,1,4338833.357,2.14E+11,1,0
210,NTH,6,2,0.005000892,155,1,16461336.14,7.56E+11,4,0
211,BEL,6,2,0.003836008,155,1,10713186.57,4.28E+11,4,0
212,LUX,3,2,0.000443333,155,1,489826.5,46052835405,3,0
220,FRN,14,2,0.0177898,155,1,64025164.93,2.39E+12,5,1
221,MNC,3,99,2.28E-06,155,1,34778.85714,5059591870,0,0
223,LIE,2,99,1.60E-06,155,1,35372.5,4491395728,0,0
225,SWZ,5,2,0.001467817,155,1,7651362,5.07E+11,1,0
230,SPN,8,2,0.009785108,39,1,44727101.07,1.23E+12,4,0
232,AND,2,99,2.58E-06,39,1,79163.92857,3115854662,0,0
235,POR,2,2,0.001902783,39,1,10494564.43,2.08E+11,4,0
255,GMY,16,2,0.021989608,155,1,81794239,3.14E+12,4,1
290,POL,12,2,0.006497283,151,1,38127929.29,3.92E+11,3,0
305,AUS,8,2,0.002333225,155,1,8291830.857,3.53E+11,3,0
310,HUN,7,2,0.001506183,151,1,10036399.79,1.18E+11,3,0
316,CZR,4,2,0.002415675,151,1,10350215,1.69E+11,3,0
317,SLO,5,2,0.001350092,151,1,5386927.714,75964356291,1,0
325,ITA,15.07,2,0.016091017,39,1,58623226.93,1.95E+12,5,0
331,SNM,1,99,2.15E-06,39,1,30308.71429,1743983926,0,0
338,MLT,5,2,3.58E-05,39,1,409849.8571,7809071882,0,0
339,ALB,6.71,1,0.000333375,39,1,2966388.214,9768519795,4,0
343,MAC,4.5,1,0.000298467,39,1,2064198.143,7925116694,4,0
344,CRO,7.64,2,0.000816842,39,1,4292421.929,50694109276,4,0
345,YUG,8.14,2,0.001303483,39,1,7347712.071,36374463272,4,0
346,BOS,2.64,1,0.000398425,39,1,3701524.571,14124592477,4,0
349,SLV,4,2,0.000320483,39,1,2024735.857,41615766725,1,0
350,GRC,10,2,0.003782208,39,1,11001231.93,2.55E+11,4,0
352,CYP,6,2,0.000172517,145,1,1066170.071,21091799485,4,0
355,BUL,6.07,2,0.001393583,151,1,7544263.857,40523183773,1,0
359,MLD,2,1,0.000337258,151,1,2878256.286,5222792412,4,0
360,ROM,6.07,1,0.003119683,151,1,20823959.64,1.37E+11,4,0
365,RUS,22.14,0,0.043646999,151,1,143659925.1,1.27E+12,4,1
366,EST,7,2,0.000174567,154,1,1344911.214,17974865606,4,0
367,LAT,9,2,0.000333292,154,1,2169493.143,22728102493,1,0
368,LIT,8,2,0.000447267,154,1,3206734.071,33416026752,3,0
369,UKR,10,0,0.011411642,151,1,46626803.57,1.16E+11,4,0
370,BLR,5,0,0.0022076,151,1,9611020.857,45071804251,3,0
371,ARM,4,0,0.000647467,145,0,2944235.286,7459455354,4,0
372,GRG,5,1,0.000451875,145,0,3849064.143,10162770349,4,0
373,AZE,7,0,0.0014101,145,0,8747655.071,37590712636,4,0
375,FIN,7,2,0.001876967,154,1,5310658.929,2.27E+11,1,0
380,SWD,9,2,0.002733525,154,1,9228014.357,4.49E+11,4,0
385,NOR,7,2,0.001731233,154,1,4776893,3.73E+11,4,0
390,DEN,12,2,0.0012557,154,1,5488064.5,2.89E+11,4,0
395,ICE,0,2,2.95E-05,154,1,307928.7143,14765751191,3,0
402,CAP,1,2,2.21E-05,11,0,477624.5714,1357117079,0,0
403,STP,4,2,6.68E-06,17,0,169279.7143,179136259.5,0,0
404,GNB,2,0,0.000138367,11,0,1441037.857,745321977.1,4,0
411,EQG,4,0,4.83E-05,17,0,855156.5714,12863651421,4,0
420,GAM,1,0,8.64E-05,11,0,1674963.714,1147219340,0,0
432,MLI,7,1,0.000556892,11,0,13963795.93,8751823185,4,0
433,SEN,6,2,0.000696417,11,0,11945835.79,13775217350,4,0
434,BEN,5,2,0.000396783,11,0,8615642.643,8408965896,1,0
435,MAA,4,0,0.0002922,11,0,3275210.357,4429317047,0,0
436,NIR,8,1,0.000506042,11,0,15170108.21,6360373581,4,0
437,CDI,5,0,0.001192167,11,0,19531716.64,21661370307,4,0
438,GUI,6,0,0.000536133,11,0,9687777.357,5600954615,4,0
439,BFO,6,1,0.000667658,11,0,14583856.64,8454646995,0,0
450,LBR,3,1,0.000304217,11,0,3586778.071,1695785714,3,0
451,SIE,2,1,0.000322083,11,0,5985593.5,2506396688,4,0
452,GHA,5,2,0.001129833,11,0,23351016.5,26257606980,4,0
461,TOG,4,0,0.000322083,11,0,6040806,2970277399,3,0
471,CAO,8,0,0.00113145,17,0,19112050.07,22715566886,4,0
475,NIG,9,0,0.008201991,11,0,149304052.7,2.86E+11,4,0
481,GAB,6,0,0.000174492,17,0,1525724.143,12160340074,0,0
482,CEN,5.29,0,0.00020095,17,0,4177470.714,1682138530,4,0
483,CHA,6,0,0.000605667,17,0,11064524.36,8242022157,5,0
484,CON,5,0,0.000403567,17,0,3956080.714,10079197412,4,0
490,DRC,9.07,0,0.004021767,17,0,60067005.07,18735151210,5,0
500,UGA,5.07,0,0.001437192,14,0,30215353.71,17136390052,5,0
501,KEN,5.07,0,0.0016521,14,0,39454299.93,32534495775,4,0
510,TAZ,11,0,0.001912192,14,0,41611485.71,26964706745,4,0
516,BUI,3,0,0.000588242,14,0,8063841.571,1592910872,4,0
517,RWA,4,0,0.000730458,14,0,9509859.929,4739406461,5,0
520,SOM,6,0,0.0006166,14,0,11261604.86,1730028828,0,0
522,DJI,5,0,0.000151375,14,0,813046.2143,1057441854,3,0
530,ETH,5.29,0,0.003995267,14,0,82311322.57,25013474864,5,0
531,ERI,5,0,0.001975225,14,0,2862278.364,1270905024,5,0
540,ANG,5,0,0.002131967,17,0,21548998,70365333477,5,0
541,MZM,9,0,0.001039075,14,0,22076782.07,11012711637,1,0
